"Media And Storage Devices",Label,"Asset Name(s)","Threat Agent","Threat Action",Vulnerability,Control,Global,Media
Laptop,"Maxi test","EDI Gateway",Flood,"Water damage to equipment","Insufficient equipment redundancy","Data backup",TBD,TBD
Laptop,"Maxi test","EDI Gateway","Inclement weather","Physical damage to equipment","Insufficient equipment redundancy","Data backup",TBD,TBD
Laptop,"Maxi test","EDI Gateway",Malware,"Corruption or destruction of important data","Vulnerabilities related to data backups","Data backup",TBD,TBD
Laptop,"Maxi test","EDI Gateway","Power Surge","Electrical damage to equipment","Insufficient power shielding","Data backup",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","Burglar, Thief or anyone who finds a lost device","Corruption or destruction of important data","Vulnerabilities related to data backups","Data backup",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","Careless user","Corruption or destruction of important data","Insufficient data validation","Data backup",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","Careless user","Destruction of important data","Insufficient data backup","Data backup",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Data backup",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email",Earthquake,"Physical damage to equipment","Insufficient equipment redundancy","Data backup",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email",Entropy,"Hardware failure","Vulnerabilities related to hardware","Data backup",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email",Fire,"Fire damage to equipment","Insufficient equipment redundancy","Data backup",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email",Flood,"Water damage to equipment","Insufficient equipment redundancy","Data backup",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","Inclement weather","Physical damage to equipment","Insufficient equipment redundancy","Data backup",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email",Malware,"Corruption or destruction of important data","Vulnerabilities related to data backups","Data backup",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","Power Surge","Electrical damage to equipment","Insufficient power shielding","Data backup",TBD,TBD
Laptop,,"Laboratory Information System","Burglar, Thief or anyone who finds a lost device","Corruption or destruction of important data","Vulnerabilities related to data backups","Data backup",TBD,TBD
Laptop,,"Laboratory Information System","Careless user","Corruption or destruction of important data","Insufficient data validation","Data backup",TBD,TBD
Laptop,,"Laboratory Information System","Careless user","Destruction of important data","Insufficient data backup","Data backup",TBD,TBD
Laptop,,"Laboratory Information System","Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Data backup",TBD,TBD
Laptop,,"Laboratory Information System",Earthquake,"Physical damage to equipment","Insufficient equipment redundancy","Data backup",TBD,TBD
Laptop,,"Laboratory Information System",Entropy,"Hardware failure","Vulnerabilities related to hardware","Data backup",TBD,TBD
Laptop,,"Laboratory Information System",Fire,"Fire damage to equipment","Insufficient equipment redundancy","Data backup",TBD,TBD
Laptop,,"Laboratory Information System",Flood,"Water damage to equipment","Insufficient equipment redundancy","Data backup",TBD,TBD
Laptop,,"Laboratory Information System","Inclement weather","Physical damage to equipment","Insufficient equipment redundancy","Data backup",TBD,TBD
Laptop,,"Laboratory Information System",Malware,"Corruption or destruction of important data","Vulnerabilities related to data backups","Data backup",TBD,TBD
Laptop,,"Laboratory Information System","Power Surge","Electrical damage to equipment","Insufficient power shielding","Data backup",TBD,TBD
Laptop,,RIS,"Burglar, Thief or anyone who finds a lost device","Corruption or destruction of important data","Vulnerabilities related to data backups","Data backup",TBD,TBD
Laptop,,RIS,"Careless user","Corruption or destruction of important data","Insufficient data validation","Data backup",TBD,TBD
Laptop,,RIS,"Careless user","Destruction of important data","Insufficient data backup","Data backup",TBD,TBD
Laptop,,RIS,"Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Data backup",TBD,TBD
Laptop,,RIS,Earthquake,"Physical damage to equipment","Insufficient equipment redundancy","Data backup",TBD,TBD
Laptop,,RIS,Entropy,"Hardware failure","Vulnerabilities related to hardware","Data backup",TBD,TBD
Laptop,,RIS,Fire,"Fire damage to equipment","Insufficient equipment redundancy","Data backup",TBD,TBD
Laptop,,RIS,Flood,"Water damage to equipment","Insufficient equipment redundancy","Data backup",TBD,TBD
Laptop,,RIS,"Inclement weather","Physical damage to equipment","Insufficient equipment redundancy","Data backup",TBD,TBD
Laptop,,RIS,Malware,"Corruption or destruction of important data","Vulnerabilities related to data backups","Data backup",TBD,TBD
Laptop,,RIS,"Power Surge","Electrical damage to equipment","Insufficient power shielding","Data backup",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","Careless user","Corruption or destruction of important data","Insufficient data backup","Data backup",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","Careless user","Corruption or destruction of important data","Insufficient data validation","Data backup",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Data backup",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email",Earthquake,"Physical damage to equipment","Insufficient equipment redundancy","Data backup",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email",Entropy,"Hardware failure","Vulnerabilities related to hardware","Data backup",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email",Fire,"Fire damage to equipment","Insufficient equipment redundancy","Data backup",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email",Flood,"Water damage to equipment","Insufficient equipment redundancy","Data backup",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","Inclement weather","Physical damage to equipment","Insufficient equipment redundancy","Data backup",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email",Malware,"Corruption or destruction of important data","Vulnerabilities related to data backups","Data backup",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","Power Surge","Electrical damage to equipment","Insufficient power shielding","Data backup",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","Careless user","Corruption or destruction of important data","Insufficient data backup","Data backup",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","Careless user","Corruption or destruction of important data","Insufficient data validation","Data backup",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Data backup",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2",Earthquake,"Physical damage to equipment","Insufficient equipment redundancy","Data backup",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2",Entropy,"Hardware failure","Vulnerabilities related to hardware","Data backup",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2",Fire,"Fire damage to equipment","Insufficient equipment redundancy","Data backup",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2",Flood,"Water damage to equipment","Insufficient equipment redundancy","Data backup",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","Inclement weather","Physical damage to equipment","Insufficient equipment redundancy","Data backup",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2",Malware,"Corruption or destruction of important data","Vulnerabilities related to data backups","Data backup",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","Power Surge","Electrical damage to equipment","Insufficient power shielding","Data backup",TBD,TBD
Smartphone,,"Another Two","Burglar, Thief or anyone who finds a lost device","Corruption or destruction of important data","Vulnerabilities related to data backups","Data backup",TBD,TBD
"Storage Area Network",,"Another Two","Careless user","Corruption or destruction of important data","Insufficient data backup","Data backup",TBD,TBD
"Storage Area Network",,"Another Two","Careless user","Corruption or destruction of important data","Insufficient data validation","Data backup",TBD,TBD
"Storage Area Network",,"Another Two","Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Data backup",TBD,TBD
"Storage Area Network",,"Another Two",Earthquake,"Physical damage to equipment","Insufficient equipment redundancy","Data backup",TBD,TBD
"Storage Area Network",,"Another Two",Entropy,"Hardware failure","Vulnerabilities related to hardware","Data backup",TBD,TBD
"Storage Area Network",,"Another Two",Fire,"Fire damage to equipment","Insufficient equipment redundancy","Data backup",TBD,TBD
"Storage Area Network",,"Another Two",Flood,"Water damage to equipment","Insufficient equipment redundancy","Data backup",TBD,TBD
"Storage Area Network",,"Another Two","Inclement weather","Physical damage to equipment","Insufficient equipment redundancy","Data backup",TBD,TBD
"Storage Area Network",,"Another Two",Malware,"Corruption or destruction of important data","Vulnerabilities related to data backups","Data backup",TBD,TBD
"Storage Area Network",,"Another Two","Power Surge","Electrical damage to equipment","Insufficient power shielding","Data backup",TBD,TBD
Tablet,,"Another Two#|#RIS","Burglar, Thief or anyone who finds a lost device","Corruption or destruction of important data","Vulnerabilities related to data backups","Data backup",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","Careless user","Corruption or destruction of important data","Insufficient data validation","Data input validation",TBD,TBD
Desktop,"One more","EDI Gateway","Careless user","Corruption or destruction of important data","Insufficient data validation","Data input validation",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","Careless user","Corruption or destruction of important data","Insufficient data validation","Data input validation",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","Careless user","Corruption or destruction of important data","Insufficient data validation","Data input validation",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","Careless user","Corruption or destruction of important data","Insufficient data validation","Data input validation",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","Careless user","Corruption or destruction of important data","Insufficient data validation","Data input validation",TBD,TBD
"Desktop / Laptop",,"Another Two",Burglar/Thief,"Theft of equipment","Anti-malware Vulnerabilities","Data input validation",TBD,TBD
"Desktop / Laptop",,"Another Two",Third-party,"Corruption or destruction of important data","Insufficient data validation","Data input validation",TBD,TBD
"Disk Array",,"Another Two","Careless user","Corruption or destruction of important data","Insufficient data validation","Data input validation",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","Careless user","Corruption or destruction of important data","Insufficient data validation","Data input validation",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","Careless user","Corruption or destruction of important data","Insufficient data validation","Data input validation",TBD,TBD
Laptop,"Maxi test","EDI Gateway","Careless user","Corruption or destruction of important data","Insufficient data validation","Data input validation",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","Careless user","Corruption or destruction of important data","Insufficient data validation","Data input validation",TBD,TBD
Laptop,,"Laboratory Information System","Careless user","Corruption or destruction of important data","Insufficient data validation","Data input validation",TBD,TBD
Laptop,,RIS,"Careless user","Corruption or destruction of important data","Insufficient data validation","Data input validation",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","Careless user","Corruption or destruction of important data","Insufficient data validation","Data input validation",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","Careless user","Corruption or destruction of important data","Insufficient data validation","Data input validation",TBD,TBD
"Storage Area Network",,"Another Two","Careless user","Corruption or destruction of important data","Insufficient data validation","Data input validation",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","System Cracker","Theft of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Desktop,"One more","EDI Gateway","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Desktop,"One more","EDI Gateway","System Cracker","Theft of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Desktop,"One more","EDI Gateway","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","System Cracker","Theft of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","System Cracker","Theft of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","System Cracker","Theft of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","System Cracker","Theft of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
"Desktop / Laptop",,"Another Two",Burglar/Thief,"Theft of equipment","Anti-malware Vulnerabilities","Data Loss Prevention tools",TBD,TBD
"Desktop / Laptop",,"Another Two","Man Made - Unintentional","Information leakage","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
"Desktop / Laptop",,"Another Two","System Cracker","Theft of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
"Desktop / Laptop",,"Another Two","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
"Disk Array",,"Another Two","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
"Disk Array",,"Another Two","System Cracker","Theft of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
"Disk Array",,"Another Two","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","System Cracker","Theft of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","System Cracker","Theft of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Laptop,"Maxi test","EDI Gateway","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Laptop,"Maxi test","EDI Gateway","System Cracker","Theft of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Laptop,"Maxi test","EDI Gateway","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","System Cracker","Theft of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Laptop,,"Laboratory Information System","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Laptop,,"Laboratory Information System","System Cracker","Theft of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Laptop,,"Laboratory Information System","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Laptop,,RIS,"Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Laptop,,RIS,"System Cracker","Theft of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Laptop,,RIS,"Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","System Cracker","Theft of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","System Cracker","Theft of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
"Storage Area Network",,"Another Two","Careless user","Information leakage","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
"Storage Area Network",,"Another Two","System Cracker","Theft of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
"Storage Area Network",,"Another Two","Users with Malicious Intent","Malicious use of sensitive data","Endpoint Leakage Vulnerabilities","Data Loss Prevention tools",TBD,TBD
"Backup Media",text,"My Asset by Max#|#Testing with XLSX","Burglar, Thief or anyone who finds a lost device","Corruption or destruction of important data","Anti-malware Vulnerabilities","Device handling policy and procedures",TBD,TBD
"Desktop / Laptop",,"Another Two",Burglar/Thief,"Theft of equipment","Anti-malware Vulnerabilities","Device handling policy and procedures",TBD,TBD
"Desktop / Laptop",,"Another Two","System Cracker","Denial of Service","Insecure Network Configuration","Device handling policy and procedures",TBD,TBD
"Digital Camera",,"Another Two","Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Device handling policy and procedures",TBD,TBD
Pager,,"Another Two","Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Device handling policy and procedures",TBD,TBD
Smartphone,,"Another Two","Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Device handling policy and procedures",TBD,TBD
Tablet,,"Another Two#|#RIS","Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Device handling policy and procedures",TBD,TBD
"USB key / flash drive",Corporate,"Another Two","Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Device handling policy and procedures",TBD,TBD
"USB key / flash drive",BYOD,"Claims System","Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Device handling policy and procedures",TBD,TBD
"USB key / flash drive",lala,"EDI Gateway","Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Device handling policy and procedures",TBD,TBD
"USB key / flash drive","nuevo label","Electronic Medical Records System","Careless user","Physical damage to equipment","Vulnerabilities related to hardware","Device handling policy and procedures",TBD,TBD
"Backup Media",text,"My Asset by Max#|#Testing with XLSX","Burglar, Thief or anyone who finds a lost device","Corruption or destruction of important data","Anti-malware Vulnerabilities","Device re-use and disposal policy and procedures",TBD,TBD
"Desktop / Laptop",,"Another Two","Careless IT personnel","Improper destruction, disposal or reuse of media","Destruction/Disposal Vulnerabilities","Device re-use and disposal policy and procedures",TBD,TBD
"Digital Camera",,"Another Two","Careless IT personnel","Improper destruction, disposal or reuse of storage media","Destruction/Disposal Vulnerabilities","Device re-use and disposal policy and procedures",TBD,TBD
Pager,,"Another Two","Careless IT personnel","Improper destruction, disposal or reuse of storage media","Destruction/Disposal Vulnerabilities","Device re-use and disposal policy and procedures",TBD,TBD
Smartphone,,"Another Two","Careless IT personnel","Improper destruction, disposal or reuse of storage media","Destruction/Disposal Vulnerabilities","Device re-use and disposal policy and procedures",TBD,TBD
Tablet,,"Another Two#|#RIS","Careless IT personnel","Improper destruction, disposal or reuse of storage media","Destruction/Disposal Vulnerabilities","Device re-use and disposal policy and procedures",TBD,TBD
"USB key / flash drive",Corporate,"Another Two","Careless IT personnel","Improper destruction, disposal or reuse of storage media","Destruction/Disposal Vulnerabilities","Device re-use and disposal policy and procedures",TBD,TBD
"USB key / flash drive",BYOD,"Claims System","Careless IT personnel","Improper destruction, disposal or reuse of storage media","Destruction/Disposal Vulnerabilities","Device re-use and disposal policy and procedures",TBD,TBD
"USB key / flash drive",lala,"EDI Gateway","Careless IT personnel","Improper destruction, disposal or reuse of storage media","Destruction/Disposal Vulnerabilities","Device re-use and disposal policy and procedures",TBD,TBD
"USB key / flash drive","nuevo label","Electronic Medical Records System","Careless IT personnel","Improper destruction, disposal or reuse of storage media","Destruction/Disposal Vulnerabilities","Device re-use and disposal policy and procedures",TBD,TBD
"Backup Media",text,"My Asset by Max#|#Testing with XLSX","Burglar, Thief or anyone who finds a lost device","Corruption or destruction of important data","Anti-malware Vulnerabilities","Device testing and validation policy and procedures",TBD,TBD
"Digital Camera",,"Another Two",Entropy,"Hardware failure","Vulnerabilities related to hardware","Device testing and validation policy and procedures",TBD,TBD
Pager,,"Another Two",Entropy,"Hardware failure","Vulnerabilities related to hardware","Device testing and validation policy and procedures",TBD,TBD
Smartphone,,"Another Two",Entropy,"Hardware failure","Vulnerabilities related to hardware","Device testing and validation policy and procedures",TBD,TBD
Tablet,,"Another Two#|#RIS",Entropy,"Hardware failure","Vulnerabilities related to hardware","Device testing and validation policy and procedures",TBD,TBD
"USB key / flash drive",Corporate,"Another Two",Entropy,"Hardware failure","Vulnerabilities related to hardware","Device testing and validation policy and procedures",TBD,TBD
"USB key / flash drive",BYOD,"Claims System",Entropy,"Hardware failure","Vulnerabilities related to hardware","Device testing and validation policy and procedures",TBD,TBD
"USB key / flash drive",lala,"EDI Gateway",Entropy,"Hardware failure","Vulnerabilities related to hardware","Device testing and validation policy and procedures",TBD,TBD
"USB key / flash drive","nuevo label","Electronic Medical Records System",Entropy,"Hardware failure","Vulnerabilities related to hardware","Device testing and validation policy and procedures",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","Careless user","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
Desktop,"Claims System","Claims System#|#RIS","Users with Malicious Intent","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
Desktop,"One more","EDI Gateway","Careless user","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
Desktop,"One more","EDI Gateway","Users with Malicious Intent","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","Careless user","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
Desktop,"Maxi Labe2","Electronic Medical Records System#|#New Desktops","Users with Malicious Intent","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","Careless user","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
Desktop,"Desktop Negative Test - Unique","Another One#|#Email","Users with Malicious Intent","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","Careless user","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
Desktop,"Desktop Negative Test - Shared","Another Two#|#Laboratory Information System","Users with Malicious Intent","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","Careless user","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
Desktop,"Maxi Label","Testing with XLSX","Users with Malicious Intent","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
"Desktop / Laptop",,"Another Two","System Cracker","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
"Disk Array",,"Another Two","Careless user","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
"Disk Array",,"Another Two","Users with Malicious Intent","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","Careless user","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
"Electronic Medical Device",,"Another Two#|#EMD#|#EMD2","Users with Malicious Intent","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","Careless user","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
Laptop,"Positive Test Shared","Another Two#|#Claims System#|#My Asset by Max#|#Testing with XLSX","Users with Malicious Intent","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
Laptop,"Maxi test","EDI Gateway","Careless user","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
Laptop,"Maxi test","EDI Gateway","Users with Malicious Intent","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","Careless user","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
Laptop,"Negative Test Shared","Electronic Medical Records System#|#Email","Users with Malicious Intent","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
Laptop,,"Laboratory Information System","Careless user","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
Laptop,,"Laboratory Information System","Users with Malicious Intent","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
Laptop,,RIS,"Careless user","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
Laptop,,RIS,"Users with Malicious Intent","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","Careless user","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
Server,"Negative Test Shared","Another Two#|#Email","Users with Malicious Intent","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","Careless user","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
Server,"Positive Test Unique","Another One#|#Unique Test2","Users with Malicious Intent","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
"Storage Area Network",,"Another Two","Careless user","Social Engineering","Overly-trusting employees","Employee supervision",TBD,TBD
